SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
500002,ABB LTD.    ,1598.7,1598.7,1514.1,1536.55
500003,AEGIS LOGIS ,282.8,306.2,282.55,303.5
500008,AMAR RAJA BA,888.0,899.0,878.9,890.25
500009,A.SARABHAI  ,19.1,19.55,18.8,19.0
500010,HDFC        ,2733.0,2739.0,2677.65,2684.0
500012,ANDHRA PETRO,60.3,60.3,60.3,60.3
500013,ANSAL INFRAS,7.69,7.69,7.64,7.69
500014,UTIQUE      ,1.61,1.61,1.61,1.61
500020,BOM DYEING  ,75.4,77.4,75.35,76.05
500023,ASIANHOTNR  ,70.75,73.0,68.0,70.85
500027,ATUL LTD.   ,6570.0,6706.55,6521.3,6606.55
500028,ATV PROJECTS,4.62,4.81,4.38,4.59
500029,AUTOLITE(I) ,27.0,28.45,26.25,27.7
500031,BAJAJ ELECT.,978.9,1024.8,967.95,993.25
500032,BAJAJHIND   ,6.25,6.35,5.95,6.13
500033,FORCE MOTR  ,1340.0,1343.5,1321.1,1325.8
500034,BAJFINANCE  ,5608.0,5618.0,5513.45,5530.15
500038,BALRAM.CHINI,181.55,182.0,176.8,177.25
500039,BANCO PROD. ,151.0,154.95,151.0,152.5
500040,CENTURY TEXT,490.35,497.0,486.55,494.65
500041,BANNARI AMAN,1771.15,1784.0,1730.0,1730.05
500042,BASF INDIA  ,2008.0,2023.0,1980.0,2006.7
500043,BATA INDIA  ,1471.0,1494.0,1470.1,1482.15
500048,BEML LTD    ,984.2,1089.9,984.2,1070.15
500049,BHARAT ELECT,136.55,142.95,136.55,141.65
500052,BHANSALI ENG,149.0,153.0,146.05,148.45
500055,TATASTLBSL  ,46.5,48.3,46.5,47.65
500060,BIRLACABLE  ,62.0,62.2,61.1,61.45
500067,BLUE STAR   ,805.0,843.75,805.0,838.65
500068,DISA INDIA  ,4110.0,4770.0,4110.0,4501.8
500069,BNK CAPITAL ,105.95,105.95,96.15,100.3
500074,BPL LTD.    ,20.05,21.8,20.05,21.15
500078,OAL         ,619.9,619.9,585.35,588.75
500083,CENTURY EXT ,4.41,4.47,4.19,4.3
500084,CESC LTD.   ,606.85,617.65,600.65,613.25
500085,CHAMBAL FERT,232.0,248.7,232.0,243.8
500086,EXIDE IND.  ,205.6,209.5,204.5,208.05
500087,CIPLA LTD.  ,792.35,815.0,790.35,809.1
500089,DIC INDIA   ,408.0,412.3,405.15,409.0
500092,CRISIL LTD  ,1964.0,1976.0,1950.0,1966.0
500093,CGPOWER     ,55.3,56.8,53.9,56.4
500096,DABUR (I)   ,507.0,510.0,505.65,509.0
500097,DALMIASUG   ,161.15,167.25,160.05,162.1
500101,ARVIND Ltd  ,74.2,77.65,73.2,76.2
500102,BALARPUR IND,1.25,1.3,1.22,1.26
500103,BHEL        ,43.5,47.75,43.4,47.2
500104,HIND.PETRO  ,245.25,259.2,245.25,252.4
500106,IFCI LTD    ,9.09,9.23,8.86,9.05
500108,MAHA.TELE   ,12.2,13.27,12.0,12.87
500109,MRPL        ,38.65,40.45,38.5,39.25
500110,CHENNAI PET.,98.8,102.75,97.15,99.6
500111,REL.CAP.    ,10.0,10.2,9.85,9.93
500112,STATE BANK  ,411.0,414.9,406.6,407.25
500113,STEEL AUTH. ,72.45,73.85,72.1,73.2
500114,TITAN       ,1460.0,1460.0,1430.75,1436.05
500116,IDBI BANK L ,30.6,31.45,30.45,30.8
500117,DCW LTD.    ,27.75,27.75,26.5,27.3
500119,DHAMPUR SUGA,179.45,179.45,173.6,174.55
500120,DIAMINES&CHM,300.0,315.0,295.0,296.85
500123,ELANTAS     ,3399.0,3400.0,3121.0,3311.7
500124,DR.REDDY'S  ,4429.0,4589.45,4423.8,4479.25
500125,E.I.D.PAR   ,321.45,324.55,318.0,321.65
500126,PGHL        ,7001.9,7001.9,6687.0,6734.5
500128,ELEC.CASTING,22.65,25.6,22.2,24.65
500133,ESAB INDIA  ,1950.0,1950.0,1809.0,1827.4
500135,EPL         ,227.45,227.7,221.15,225.85
500136,ESTER INDUS.,104.45,105.65,103.25,104.25
500143,P.H.CAPITAL ,25.65,25.65,24.0,25.65
500144,FINOL. CABLE,387.0,415.0,387.0,407.6
500147,COCKERILL   ,810.0,831.45,801.1,804.75
500148,UFLEX LTD   ,368.95,370.9,367.2,368.8
500150,FOSECO INDIA,1217.95,1262.1,1216.05,1237.9
500151,GOLDEN TOB  ,45.7,47.75,43.0,46.35
500153,GANESH BENZO,73.05,80.45,73.05,77.4
